type,client,tx,amount
deposit,46,146,460.0
deposit,47,147,470.0
deposit,48,148,480.0
deposit,49,149,490.0
deposit,50,150,500.0
deposit,51,151,510.0
deposit,52,152,520.0
deposit,53,153,530.0
deposit,54,154,540.0
deposit,55,155,550.0
deposit,56,156,560.0
deposit,57,157,570.0
deposit,58,158,580.0
deposit,59,159,590.0
deposit,60,160,600.0
deposit,61,161,610.0
deposit,62,162,620.0
deposit,63,163,630.0
deposit,64,164,640.0
deposit,65,165,650.0
deposit,66,166,660.0
deposit,67,167,670.0
deposit,68,168,680.0
deposit,69,169,690.0
deposit,70,170,700.0
deposit,71,171,710.0
deposit,72,172,720.0
deposit,73,173,730.0
deposit,74,174,740.0
deposit,75,175,750.0
deposit,76,176,760.0
deposit,77,177,770.0
deposit,78,178,780.0
deposit,79,179,790.0
deposit,80,180,800.0
deposit,81,181,810.0
deposit,82,182,820.0
deposit,83,183,830.0
deposit,84,184,840.0
deposit,85,185,850.0
deposit,86,186,860.0
deposit,87,187,870.0
deposit,88,188,880.0
deposit,89,189,890.0
deposit,90,190,900.0
deposit,91,191,910.0
deposit,92,192,920.0
deposit,93,193,930.0
deposit,94,194,940.0
deposit,95,195,950.0
deposit,96,196,960.0
deposit,97,197,970.0
deposit,98,198,980.0
deposit,99,199,990.0
deposit,100,200,1000.0
deposit,1,201,10.0
deposit,2,202,20.0
deposit,3,203,30.0
deposit,4,204,40.0
deposit,5,205,50.0
deposit,6,206,60.0
deposit,7,207,70.0
deposit,8,208,80.0
deposit,9,209,90.0
deposit,10,210,100.0
deposit,11,211,110.0
deposit,12,212,120.0
deposit,13,213,130.0
deposit,14,214,140.0
deposit,15,215,150.0
deposit,16,216,160.0
deposit,17,217,170.0
deposit,18,218,180.0
deposit,19,219,190.0
deposit,20,220,200.0
deposit,21,221,210.0
deposit,22,222,220.0
deposit,23,223,230.0
deposit,24,224,240.0
deposit,25,225,250.0
deposit,26,226,260.0
deposit,27,227,270.0
deposit,28,228,280.0
deposit,29,229,290.0
deposit,30,230,300.0
deposit,31,231,310.0
deposit,32,232,320.0
deposit,33,233,330.0
deposit,34,234,340.0
deposit,35,235,350.0
deposit,36,236,360.0
deposit,37,237,370.0
deposit,38,238,380.0
deposit,39,239,390.0
deposit,40,240,400.0
deposit,41,241,410.0
deposit,42,242,420.0
deposit,43,243,430.0
deposit,44,244,440.0
deposit,45,245,450.0
deposit,46,246,460.0
deposit,47,247,470.0
deposit,48,248,480.0
deposit,49,249,490.0
deposit,50,250,500.0
deposit,51,251,510.0
deposit,52,252,520.0
deposit,53,253,530.0
deposit,54,254,540.0
deposit,55,255,550.0
deposit,56,256,560.0
deposit,57,257,570.0
deposit,58,258,580.0
deposit,59,259,590.0
deposit,60,260,600.0
deposit,61,261,610.0
deposit,62,262,620.0
deposit,63,263,630.0
deposit,64,264,640.0
deposit,65,265,650.0
deposit,66,266,660.0
deposit,67,267,670.0
deposit,68,268,680.0
deposit,69,269,690.0
deposit,70,270,700.0
deposit,71,271,710.0
deposit,72,272,720.0
deposit,73,273,730.0
deposit,74,274,740.0
deposit,75,275,750.0
deposit,76,276,760.0
deposit,77,277,770.0
deposit,78,278,780.0
deposit,79,279,790.0
deposit,80,280,800.0
deposit,81,281,810.0
deposit,82,282,820.0
deposit,83,283,830.0
deposit,84,284,840.0
deposit,85,285,850.0
deposit,86,286,860.0
deposit,87,287,870.0
deposit,88,288,880.0
deposit,89,289,890.0
deposit,90,290,900.0
deposit,91,291,910.0
deposit,92,292,920.0
deposit,93,293,930.0
deposit,94,294,940.0
deposit,95,295,950.0
deposit,96,296,960.0
deposit,97,297,970.0
deposit,98,298,980.0
deposit,99,299,990.0
deposit,100,300,1000.0
deposit,1,301,10.0
deposit,2,302,20.0
deposit,3,303,30.0
deposit,4,304,40.0
deposit,5,305,50.0
deposit,6,306,60.0
deposit,7,307,70.0
deposit,8,308,80.0
deposit,9,309,90.0
deposit,10,310,100.0
deposit,11,311,110.0
deposit,12,312,120.0
deposit,13,313,130.0
deposit,14,314,140.0
deposit,15,315,150.0
deposit,16,316,160.0
deposit,17,317,170.0
deposit,18,318,180.0
deposit,19,319,190.0
deposit,20,320,200.0
deposit,21,321,210.0
deposit,22,322,220.0
deposit,23,323,230.0
deposit,24,324,240.0
deposit,25,325,250.0
deposit,26,326,260.0
deposit,27,327,270.0
deposit,28,328,280.0
deposit,29,329,290.0
deposit,30,330,300.0
deposit,31,331,310.0
deposit,32,332,320.0
deposit,33,333,330.0
deposit,34,334,340.0
deposit,35,335,350.0
deposit,36,336,360.0
deposit,37,337,370.0
deposit,38,338,380.0
deposit,39,339,390.0
deposit,40,340,400.0
deposit,41,341,410.0
deposit,42,342,420.0
deposit,43,343,430.0
deposit,44,344,440.0
deposit,45,345,450.0
deposit,46,346,460.0
deposit,47,347,470.0
deposit,48,348,480.0
deposit,49,349,490.0
deposit,50,350,500.0
deposit,51,351,510.0
deposit,52,352,520.0
deposit,53,353,530.0
deposit,54,354,540.0
deposit,55,355,550.0
deposit,56,356,560.0
deposit,57,357,570.0
deposit,58,358,580.0
deposit,59,359,590.0
deposit,60,360,600.0
deposit,61,361,610.0
deposit,62,362,620.0
deposit,63,363,630.0
deposit,64,364,640.0
deposit,65,365,650.0
deposit,66,366,660.0
deposit,67,367,670.0
deposit,68,368,680.0
deposit,69,369,690.0
deposit,70,370,700.0
deposit,71,371,710.0
deposit,72,372,720.0
deposit,73,373,730.0
deposit,74,374,740.0
deposit,75,375,750.0
deposit,76,376,760.0
deposit,77,377,770.0
deposit,78,378,780.0
deposit,79,379,790.0
deposit,80,380,800.0
deposit,81,381,810.0
deposit,82,382,820.0
deposit,83,383,830.0
deposit,84,384,840.0
deposit,85,385,850.0
deposit,86,386,860.0
deposit,87,387,870.0
deposit,88,388,880.0
deposit,89,389,890.0
deposit,90,390,900.0
deposit,91,391,910.0
deposit,92,392,920.0
deposit,93,393,930.0
deposit,94,394,940.0
deposit,95,395,950.0
deposit,96,396,960.0
deposit,97,397,970.0
deposit,98,398,980.0
deposit,99,399,990.0
deposit,100,400,1000.0
deposit,1,401,10.0
deposit,2,402,20.0
deposit,3,403,30.0
deposit,4,404,40.0
deposit,5,405,50.0
deposit,6,406,60.0
deposit,7,407,70.0
deposit,8,408,80.0
deposit,9,409,90.0
deposit,10,410,100.0
deposit,11,411,110.0
deposit,12,412,120.0
deposit,13,413,130.0
deposit,14,414,140.0
deposit,15,415,150.0
deposit,16,416,160.0
deposit,17,417,170.0
deposit,18,418,180.0
deposit,19,419,190.0
deposit,20,420,200.0
deposit,21,421,210.0
deposit,22,422,220.0
deposit,23,423,230.0
deposit,24,424,240.0
deposit,25,425,250.0
deposit,26,426,260.0
deposit,27,427,270.0
deposit,28,428,280.0
deposit,29,429,290.0
deposit,30,430,300.0
deposit,31,431,310.0
deposit,32,432,320.0
deposit,33,433,330.0
deposit,34,434,340.0
deposit,35,435,350.0
deposit,36,436,360.0
deposit,37,437,370.0
deposit,38,438,380.0
deposit,39,439,390.0
deposit,40,440,400.0
deposit,41,441,410.0
deposit,42,442,420.0
deposit,43,443,430.0
deposit,44,444,440.0
deposit,45,445,450.0
deposit,46,446,460.0
deposit,47,447,470.0
deposit,48,448,480.0
deposit,49,449,490.0
deposit,50,450,500.0
deposit,51,451,510.0
deposit,52,452,520.0
deposit,53,453,530.0
deposit,54,454,540.0
deposit,55,455,550.0
deposit,56,456,560.0
deposit,57,457,570.0
deposit,58,458,580.0
deposit,59,459,590.0
deposit,60,460,600.0
deposit,61,461,610.0
deposit,62,462,620.0
deposit,63,463,630.0
deposit,64,464,640.0
deposit,65,465,650.0
deposit,66,466,660.0
deposit,67,467,670.0
deposit,68,468,680.0
deposit,69,469,690.0
deposit,70,470,700.0
deposit,71,471,710.0
deposit,72,472,720.0
deposit,73,473,730.0
deposit,74,474,740.0
deposit,75,475,750.0
deposit,76,476,760.0
deposit,77,477,770.0
deposit,78,478,780.0
deposit,79,479,790.0
deposit,80,480,800.0
deposit,81,481,810.0
deposit,82,482,820.0
deposit,83,483,830.0
deposit,84,484,840.0
deposit,85,485,850.0
deposit,86,486,860.0
deposit,87,487,870.0
deposit,88,488,880.0
deposit,89,489,890.0
deposit,90,490,900.0
deposit,91,491,910.0
deposit,92,492,920.0
deposit,93,493,930.0
deposit,94,494,940.0
deposit,95,495,950.0
deposit,96,496,960.0
deposit,97,497,970.0
deposit,98,498,980.0
deposit,99,499,990.0
deposit,100,500,1000.0
deposit,1,501,10.0
deposit,2,502,20.0
deposit,3,503,30.0
deposit,4,504,40.0
deposit,5,505,50.0
deposit,6,506,60.0
deposit,7,507,70.0
deposit,8,508,80.0
deposit,9,509,90.0
deposit,10,510,100.0
deposit,11,511,110.0
deposit,12,512,120.0
deposit,13,513,130.0
deposit,14,514,140.0
deposit,15,515,150.0
deposit,16,516,160.0
deposit,17,517,170.0
deposit,18,518,180.0
deposit,19,519,190.0
deposit,20,520,200.0
deposit,21,521,210.0
deposit,22,522,220.0
deposit,23,523,230.0
deposit,24,524,240.0
deposit,25,525,250.0
deposit,26,526,260.0
deposit,27,527,270.0
deposit,28,528,280.0
deposit,29,529,290.0
deposit,30,530,300.0
deposit,31,531,310.0
deposit,32,532,320.0
deposit,33,533,330.0
deposit,34,534,340.0
deposit,35,535,350.0
deposit,36,536,360.0
deposit,37,537,370.0
deposit,38,538,380.0
deposit,39,539,390.0
deposit,40,540,400.0
deposit,41,541,410.0
deposit,42,542,420.0
deposit,43,543,430.0
deposit,44,544,440.0
deposit,45,545,450.0
deposit,46,546,460.0
deposit,47,547,470.0
deposit,48,548,480.0
deposit,49,549,490.0
deposit,50,550,500.0
deposit,51,551,510.0
deposit,52,552,520.0
deposit,53,553,530.0
deposit,54,554,540.0
deposit,55,555,550.0
deposit,56,556,560.0
deposit,57,557,570.0
deposit,58,558,580.0
deposit,59,559,590.0
deposit,60,560,600.0
deposit,61,561,610.0
deposit,62,562,620.0
deposit,63,563,630.0
deposit,64,564,640.0
deposit,65,565,650.0
deposit,66,566,660.0
deposit,67,567,670.0
deposit,68,568,680.0
deposit,69,569,690.0
deposit,70,570,700.0
deposit,71,571,710.0
deposit,72,572,720.0
deposit,73,573,730.0
deposit,74,574,740.0
deposit,75,575,750.0
deposit,76,576,760.0
deposit,77,577,770.0
deposit,78,578,780.0
deposit,79,579,790.0
deposit,80,580,800.0
deposit,81,581,810.0
deposit,82,582,820.0
deposit,83,583,830.0
deposit,84,584,840.0
deposit,85,585,850.0
deposit,86,586,860.0
deposit,87,587,870.0
deposit,88,588,880.0
deposit,89,589,890.0
deposit,90,590,900.0
deposit,91,591,910.0
deposit,92,592,920.0
deposit,93,593,930.0
deposit,94,594,940.0
deposit,95,595,950.0
deposit,96,596,960.0
deposit,97,597,970.0
deposit,98,598,980.0
deposit,99,599,990.0
deposit,100,600,1000.0
deposit,1,601,10.0
deposit,2,602,20.0
deposit,3,603,30.0
deposit,4,604,40.0
deposit,5,605,50.0
deposit,6,606,60.0
deposit,7,607,70.0
deposit,8,608,80.0
deposit,9,609,90.0
deposit,10,610,100.0
deposit,11,611,110.0
deposit,12,612,120.0
deposit,13,613,130.0
deposit,14,614,140.0
deposit,15,615,150.0
deposit,16,616,160.0
deposit,17,617,170.0
deposit,18,618,180.0
deposit,19,619,190.0
deposit,20,620,200.0
deposit,21,621,210.0
deposit,22,622,220.0
deposit,23,623,230.0
deposit,24,624,240.0
deposit,25,625,250.0
deposit,26,626,260.0
deposit,27,627,270.0
deposit,28,628,280.0
deposit,29,629,290.0
deposit,30,630,300.0
deposit,31,631,310.0
deposit,32,632,320.0
deposit,33,633,330.0
deposit,34,634,340.0
deposit,35,635,350.0
deposit,36,636,360.0
deposit,37,637,370.0
deposit,38,638,380.0
deposit,39,639,390.0
deposit,40,640,400.0
deposit,41,641,410.0
deposit,42,642,420.0
deposit,43,643,430.0
deposit,44,644,440.0
deposit,45,645,450.0
deposit,46,646,460.0
deposit,47,647,470.0
deposit,48,648,480.0
deposit,49,649,490.0
deposit,50,650,500.0
deposit,51,651,510.0
deposit,52,652,520.0
deposit,53,653,530.0
deposit,54,654,540.0
deposit,55,655,550.0
deposit,56,656,560.0
deposit,57,657,570.0
deposit,58,658,580.0
deposit,59,659,590.0
deposit,60,660,600.0
deposit,61,661,610.0
deposit,62,662,620.0
deposit,63,663,630.0
deposit,64,664,640.0
deposit,65,665,650.0
deposit,66,666,660.0
deposit,67,667,670.0
deposit,68,668,680.0
deposit,69,669,690.0
deposit,70,670,700.0
deposit,71,671,710.0
deposit,72,672,720.0
deposit,73,673,730.0
deposit,74,674,740.0
deposit,75,675,750.0
deposit,76,676,760.0
deposit,77,677,770.0
deposit,78,678,780.0
deposit,79,679,790.0
deposit,80,680,800.0
deposit,81,681,810.0
deposit,82,682,820.0
deposit,83,683,830.0
deposit,84,684,840.0
deposit,85,685,850.0
deposit,86,686,860.0
deposit,87,687,870.0
deposit,88,688,880.0
deposit,89,689,890.0
deposit,90,690,900.0
deposit,91,691,910.0
deposit,92,692,920.0
deposit,93,693,930.0
deposit,94,694,940.0
deposit,95,695,950.0
deposit,96,696,960.0
deposit,97,697,970.0
deposit,98,698,980.0
deposit,99,699,990.0
deposit,100,700,1000.0
deposit,1,701,10.0
deposit,2,702,20.0
deposit,3,703,30.0
deposit,4,704,40.0
deposit,5,705,50.0
deposit,6,706,60.0
deposit,7,707,70.0
deposit,8,708,80.0
deposit,9,709,90.0
deposit,10,710,100.0
deposit,11,711,110.0
deposit,12,712,120.0
deposit,13,713,130.0
deposit,14,714,140.0
deposit,15,715,150.0
deposit,16,716,160.0
deposit,17,717,170.0
deposit,18,718,180.0
deposit,19,719,190.0
deposit,20,720,200.0
deposit,21,721,210.0
deposit,22,722,220.0
deposit,23,723,230.0
deposit,24,724,240.0
deposit,25,725,250.0
deposit,26,726,260.0
deposit,27,727,270.0
deposit,28,728,280.0
deposit,29,729,290.0
deposit,30,730,300.0
deposit,31,731,310.0
deposit,32,732,320.0
deposit,33,733,330.0
deposit,34,734,340.0
deposit,35,735,350.0
deposit,36,736,360.0
deposit,37,737,370.0
deposit,38,738,380.0
deposit,39,739,390.0
deposit,40,740,400.0
deposit,41,741,410.0
deposit,42,742,420.0
deposit,43,743,430.0
deposit,44,744,440.0
deposit,45,745,450.0
deposit,46,746,460.0
deposit,47,747,470.0
deposit,48,748,480.0
deposit,49,749,490.0
deposit,50,750,500.0
deposit,51,751,510.0
deposit,52,752,520.0
deposit,53,753,530.0
deposit,54,754,540.0
deposit,55,755,550.0
deposit,56,756,560.0
deposit,57,757,570.0
deposit,58,758,580.0
deposit,59,759,590.0
deposit,60,760,600.0
deposit,61,761,610.0
deposit,62,762,620.0
deposit,63,763,630.0
deposit,64,764,640.0
deposit,65,765,650.0
deposit,66,766,660.0
deposit,67,767,670.0
deposit,68,768,680.0
deposit,69,769,690.0
deposit,70,770,700.0
deposit,71,771,710.0
deposit,72,772,720.0
deposit,73,773,730.0
deposit,74,774,740.0
deposit,75,775,750.0
deposit,76,776,760.0
deposit,77,777,770.0
deposit,78,778,780.0
deposit,79,779,790.0
deposit,80,780,800.0
deposit,81,781,810.0
deposit,82,782,820.0
deposit,83,783,830.0
deposit,84,784,840.0
deposit,85,785,850.0
deposit,86,786,860.0
deposit,87,787,870.0
deposit,88,788,880.0
deposit,89,789,890.0
deposit,90,790,900.0
deposit,91,791,910.0
deposit,92,792,920.0
deposit,93,793,930.0
deposit,94,794,940.0
deposit,95,795,950.0
deposit,96,796,960.0
deposit,97,797,970.0
deposit,98,798,980.0
deposit,99,799,990.0
deposit,100,800,1000.0
deposit,1,801,10.0
deposit,2,802,20.0
deposit,3,803,30.0
deposit,4,804,40.0
deposit,5,805,50.0
deposit,6,806,60.0
deposit,7,807,70.0
deposit,8,808,80.0
deposit,9,809,90.0
deposit,10,810,100.0
deposit,11,811,110.0
deposit,12,812,120.0
deposit,13,813,130.0
deposit,14,814,140.0
deposit,15,815,150.0
deposit,16,816,160.0
deposit,17,817,170.0
deposit,18,818,180.0
deposit,19,819,190.0
deposit,20,820,200.0
deposit,21,821,210.0
deposit,22,822,220.0
deposit,23,823,230.0
deposit,24,824,240.0
deposit,25,825,250.0
deposit,26,826,260.0
deposit,27,827,270.0
deposit,28,828,280.0
deposit,29,829,290.0
deposit,30,830,300.0
deposit,31,831,310.0
deposit,32,832,320.0
deposit,33,833,330.0
deposit,34,834,340.0
deposit,35,835,350.0
deposit,36,836,360.0
deposit,37,837,370.0
deposit,38,838,380.0
deposit,39,839,390.0
deposit,40,840,400.0
deposit,41,841,410.0
deposit,42,842,420.0
deposit,43,843,430.0
deposit,44,844,440.0
deposit,45,845,450.0
deposit,46,846,460.0
deposit,47,847,470.0
deposit,48,848,480.0
deposit,49,849,490.0
deposit,50,850,500.0
deposit,51,851,510.0
deposit,52,852,520.0
deposit,53,853,530.0
deposit,54,854,540.0
deposit,55,855,550.0
deposit,56,856,560.0
deposit,57,857,570.0
deposit,58,858,580.0
deposit,59,859,590.0
deposit,60,860,600.0
deposit,61,861,610.0
deposit,62,862,620.0
deposit,63,863,630.0
deposit,64,864,640.0
deposit,65,865,650.0
deposit,66,866,660.0
deposit,67,867,670.0
deposit,68,868,680.0
deposit,69,869,690.0
deposit,70,870,700.0
deposit,71,871,710.0
deposit,72,872,720.0
deposit,73,873,730.0
deposit,74,874,740.0
deposit,75,875,750.0
deposit,76,876,760.0
deposit,77,877,770.0
deposit,78,878,780.0
deposit,79,879,790.0
deposit,80,880,800.0
deposit,81,881,810.0
deposit,82,882,820.0
deposit,83,883,830.0
deposit,84,884,840.0
deposit,85,885,850.0
deposit,86,886,860.0
deposit,87,887,870.0
deposit,88,888,880.0
deposit,89,889,890.0
deposit,90,890,900.0
deposit,91,891,910.0
deposit,92,892,920.0
deposit,93,893,930.0
deposit,94,894,940.0
deposit,95,895,950.0
deposit,96,896,960.0
deposit,97,897,970.0
deposit,98,898,980.0
deposit,99,899,990.0
deposit,100,900,1000.0
deposit,1,901,10.0
deposit,2,902,20.0
deposit,3,903,30.0
deposit,4,904,40.0
deposit,5,905,50.0
deposit,6,906,60.0
deposit,7,907,70.0
deposit,8,908,80.0
deposit,9,909,90.0
deposit,10,910,100.0
deposit,11,911,110.0
deposit,12,912,120.0
deposit,13,913,130.0
deposit,14,914,140.0
deposit,15,915,150.0
deposit,16,916,160.0
deposit,17,917,170.0
deposit,18,918,180.0
deposit,19,919,190.0
deposit,20,920,200.0
deposit,21,921,210.0
deposit,22,922,220.0
deposit,23,923,230.0
deposit,24,924,240.0
deposit,25,925,250.0
deposit,26,926,260.0
deposit,27,927,270.0
deposit,28,928,280.0
deposit,29,929,290.0
deposit,30,930,300.0
deposit,31,931,310.0
deposit,32,932,320.0
deposit,33,933,330.0
deposit,34,934,340.0
deposit,35,935,350.0
deposit,36,936,360.0
deposit,37,937,370.0
deposit,38,938,380.0
deposit,39,939,390.0
deposit,40,940,400.0
deposit,41,941,410.0
deposit,42,942,420.0
deposit,43,943,430.0
deposit,44,944,440.0
deposit,45,945,450.0
deposit,46,946,460.0
deposit,47,947,470.0
deposit,48,948,480.0
deposit,49,949,490.0
deposit,50,950,500.0
deposit,51,951,510.0
deposit,52,952,520.0
deposit,53,953,530.0
deposit,54,954,540.0
deposit,55,955,550.0
deposit,56,956,560.0
deposit,57,957,570.0
deposit,58,958,580.0
deposit,59,959,590.0
deposit,60,960,600.0
deposit,61,961,610.0
deposit,62,962,620.0
deposit,63,963,630.0
deposit,64,964,640.0
deposit,65,965,650.0
deposit,66,966,660.0
deposit,67,967,670.0
deposit,68,968,680.0
deposit,69,969,690.0
deposit,70,970,700.0
deposit,71,971,710.0
deposit,72,972,720.0
deposit,73,973,730.0
deposit,74,974,740.0
deposit,75,975,750.0
deposit,76,976,760.0
deposit,77,977,770.0
deposit,78,978,780.0
deposit,79,979,790.0
deposit,80,980,800.0
deposit,81,981,810.0
deposit,82,982,820.0
deposit,83,983,830.0
deposit,84,984,840.0
deposit,85,985,850.0
deposit,86,986,860.0
deposit,87,987,870.0
deposit,88,988,880.0
deposit,89,989,890.0
deposit,90,990,900.0
deposit,91,991,910.0
deposit,92,992,920.0
deposit,93,993,930.0
deposit,94,994,940.0
deposit,95,995,950.0
deposit,96,996,960.0
deposit,97,997,970.0
deposit,98,998,980.0
deposit,99,999,990.0
deposit,100,1000,1000.0
deposit,1,1001,10.0
deposit,2,1002,20.0
deposit,3,1003,30.0
deposit,4,1004,40.0
deposit,5,1005,50.0
deposit,6,1006,60.0
deposit,7,1007,70.0
deposit,8,1008,80.0
deposit,9,1009,90.0
deposit,10,1010,100.0
deposit,11,1011,110.0
deposit,12,1012,120.0
deposit,13,1013,130.0
deposit,14,1014,140.0
deposit,15,1015,150.0
deposit,16,1016,160.0
deposit,17,1017,170.0
deposit,18,1018,180.0
deposit,19,1019,190.0
deposit,20,1020,200.0
deposit,21,1021,210.0
deposit,22,1022,220.0
deposit,23,1023,230.0
deposit,24,1024,240.0
deposit,25,1025,250.0
deposit,26,1026,260.0
deposit,27,1027,270.0
deposit,28,1028,280.0
deposit,29,1029,290.0
deposit,30,1030,300.0
deposit,31,1031,310.0
deposit,32,1032,320.0
deposit,33,1033,330.0
deposit,34,1034,340.0
deposit,35,1035,350.0
deposit,36,1036,360.0
deposit,37,1037,370.0
deposit,38,1038,380.0
deposit,39,1039,390.0
deposit,40,1040,400.0
deposit,41,1041,410.0
deposit,42,1042,420.0
deposit,43,1043,430.0
deposit,44,1044,440.0
deposit,45,1045,450.0
deposit,46,1046,460.0
deposit,47,1047,470.0
deposit,48,1048,480.0
deposit,49,1049,490.0
deposit,50,1050,500.0
deposit,51,1051,510.0
deposit,52,1052,520.0
deposit,53,1053,530.0
deposit,54,1054,540.0
deposit,55,1055,550.0
deposit,56,1056,560.0
deposit,57,1057,570.0
deposit,58,1058,580.0
deposit,59,1059,590.0
deposit,60,1060,600.0
deposit,61,1061,610.0
deposit,62,1062,620.0
deposit,63,1063,630.0
deposit,64,1064,640.0
deposit,65,1065,650.0
deposit,66,1066,660.0
deposit,67,1067,670.0
deposit,68,1068,680.0
deposit,69,1069,690.0
deposit,70,1070,700.0
deposit,71,1071,710.0
deposit,72,1072,720.0
deposit,73,1073,730.0
deposit,74,1074,740.0
deposit,75,1075,750.0
deposit,76,1076,760.0
deposit,77,1077,770.0
deposit,78,1078,780.0
deposit,79,1079,790.0
deposit,80,1080,800.0
deposit,81,1081,810.0
deposit,82,1082,820.0
deposit,83,1083,830.0
deposit,84,1084,840.0
deposit,85,1085,850.0
deposit,86,1086,860.0
deposit,87,1087,870.0
deposit,88,1088,880.0
deposit,89,1089,890.0
deposit,90,1090,900.0
deposit,91,1091,910.0
deposit,92,1092,920.0
deposit,93,1093,930.0
deposit,94,1094,940.0
deposit,95,1095,950.0
deposit,96,1096,960.0
deposit,97,1097,970.0
deposit,98,1098,980.0
deposit,99,1099,990.0
deposit,100,1100,1000.0
deposit,1,1101,10.0
deposit,2,1102,20.0
deposit,3,1103,30.0
deposit,4,1104,40.0
deposit,5,1105,50.0
deposit,6,1106,60.0
deposit,7,1107,70.0
deposit,8,1108,80.0
deposit,9,1109,90.0
deposit,10,1110,100.0
deposit,11,1111,110.0
deposit,12,1112,120.0
deposit,13,1113,130.0
deposit,14,1114,140.0
deposit,15,1115,150.0
deposit,16,1116,160.0
deposit,17,1117,170.0
deposit,18,1118,180.0
deposit,19,1119,190.0
deposit,20,1120,200.0
deposit,21,1121,210.0
deposit,22,1122,220.0
deposit,23,1123,230.0
deposit,24,1124,240.0
deposit,25,1125,250.0
deposit,26,1126,260.0
deposit,27,1127,270.0
deposit,28,1128,280.0
deposit,29,1129,290.0
deposit,30,1130,300.0
deposit,31,1131,310.0
deposit,32,1132,320.0
deposit,33,1133,330.0
deposit,34,1134,340.0
deposit,35,1135,350.0
deposit,36,1136,360.0
deposit,37,1137,370.0
deposit,38,1138,380.0
deposit,39,1139,390.0
deposit,40,1140,400.0
deposit,41,1141,410.0
deposit,42,1142,420.0
deposit,43,1143,430.0
deposit,44,1144,440.0
deposit,45,1145,450.0
deposit,46,1146,460.0
deposit,47,1147,470.0
deposit,48,1148,480.0
deposit,49,1149,490.0
deposit,50,1150,500.0
deposit,51,1151,510.0
